"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48523,580,"Palace - Central - W. of Axis","Limestone trial piece","TA.OC.36-37.017","17","0.1","Cairo","","","https://www.flickr.com/photos/25459876@N04/18858946105","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48523,1014,"TA.36.37 Palace- Central W. of Axis","Limestone trial piece","TA.OC.36-37.017","17","0.1","Cairo","","Notes annotated on image","https://www.flickr.com/photos/25459876@N04/18858946105","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48524,433,"Palace - Central, W. of Axis","Fragments of black granite wigs for inlay","TA.OC.36-37.018","18","0.29","None given","TA.36-37; Full Size","","https://www.flickr.com/photos/25459876@N04/18671258770","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48524,580,"Palace - Central - W. of Axis","Fragments of blackgranite wigs for inlay","TA.OC.36-37.018","18","0.29","","","","https://www.flickr.com/photos/25459876@N04/18671258770","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48524,1014,"T.A.36-37 Palace- Central W. of Axis","Fragments of black granite wigs for inlay","TA.OC.36-37.018","18","0.4","","","Notes annotated on image.","https://www.flickr.com/photos/25459876@N04/18671258770","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48525,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.019","19","09","Cairo","TA.36-37; 23 x 17","","https://www.flickr.com/photos/25459876@N04/18672784589","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48525,580,"Palace - Central - W. of Axis","Limestone relief","TA.OC.36-37.019","19","0.9","Cairo","","","https://www.flickr.com/photos/25459876@N04/18672784589","Theresa Huntsman; Joellen mcGann; Denis Antoine"
48525,1014,"T.A.36.37 Palace Central W. of Axis","Limestone relief","TA.OC.36-37.019","19","0.9","Cairo","","Notes annotated on image","https://www.flickr.com/photos/25459876@N04/18672784589","Theresa Huntsman; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48526,433,"Palace - Central, W. of Axis","Limestone Relief","TA.OC.36-37.020","20","0.11","Brooklyn","TA.36-37; Overall length of block - 30; Overall height of block - 11","","https://www.flickr.com/photos/25459876@N04/18672784239","Theresa Huntsman; Joellen mcGann; Denis Antoine"
