"taskID","userID","provenance","title","imageTitle","objectNumber","negativeNumber","distribution","otherNotes","comments","imageURL","inputBy"
48727,433,"Main Chapel","None","TA.SC.26-27.063","26-7/63","None given","None given","T.A./S","","https://www.flickr.com/photos/25459876@N04/18671844570","JP OConnor; Joellen mcGann; Denis Antoine"
48727,580,"Main Chapel","","TA.SC.26-27.063","26-7/63","","","","","https://www.flickr.com/photos/25459876@N04/18671844570","JP OConnor; Joellen mcGann; Denis Antoine"
48727,817,"","","TA.SC.26-27.063","TA S 26/7 63","","","Main Chapel","","https://www.flickr.com/photos/25459876@N04/18671844570","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48728,433,"Main Chapel","Fragment of limestone relif sculptured","TA.SC.26-27.064","26/7/64","None given","None given","T.A./S; 19 x 12","","https://www.flickr.com/photos/25459876@N04/18859530745","JP OConnor; Joellen mcGann; Denis Antoine"
48728,580,"Main Chapel","Fragment of limestone relief, sculptured.","TA.SC.26-27.064","26-7/64","","","","","https://www.flickr.com/photos/25459876@N04/18859530745","JP OConnor; Joellen mcGann; Denis Antoine"
48728,817,"","fragment of limestone relief sculptured","TA.SC.26-27.064","TA S 26/7 64","","","Main Chapel","19 x 12","https://www.flickr.com/photos/25459876@N04/18859530745","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48729,433,"Main Chapel","Fragment of Limestone Relief, Sculpted","TA.SC.26-27.065","26-7/65","None given","None given","T.A./S; 15.5 x 15","","https://www.flickr.com/photos/25459876@N04/18862283781","JP OConnor; Joellen mcGann; Denis Antoine"
48729,580,"Main Chapel","Fragment of limestone relief, sculptured.","TA.SC.26-27.065","26-7/65","","","","","https://www.flickr.com/photos/25459876@N04/18862283781","JP OConnor; Joellen mcGann; Denis Antoine"
48729,817,"","fragment of limestone relief sculptured","TA.SC.26-27.065","TA S 26/7 65","","","Main Chapel 15.5 x 15","","https://www.flickr.com/photos/25459876@N04/18862283781","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48730,433,"Main Chapel","Fragment of granite, inscribed on 2 sides (a) & (b)","TA.SC.26-27.066","26-7/66","None given","None given","T.A./S; a) 11.5 x 6; b) 7 x 9","","https://www.flickr.com/photos/25459876@N04/18671842430","JP OConnor; Joellen mcGann; Denis Antoine"
48730,580,"Main Chapel","Fragment of granite, inscribed on 2 sides, (a) & (b).","TA.SC.26-27.066","26-7/66","","","","","https://www.flickr.com/photos/25459876@N04/18671842430","JP OConnor; Joellen mcGann; Denis Antoine"
48730,817,"","Fragment of granite, incribed on 2 sides, (a) & (b)","TA.SC.26-27.066","TA S 26-7 66","","","Main Chapel ","Dimensions of object (a): 11.5 x 6. Dimensions of object (b) 7 x 9.","https://www.flickr.com/photos/25459876@N04/18671842430","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48731,433,"Main Chapel","Fragment of Limestone Relief, Inscribed","TA.SC.26-27.067","26-7/67","None given","None given","T.A./S; 19 x 16","","https://www.flickr.com/photos/25459876@N04/18671841950","JP OConnor; Joellen mcGann; Denis Antoine"
48731,580,"Main Chapel","Fragment of limestone relief, inscribed.","TA.SC.26-27.067","26-7/67","","","","","https://www.flickr.com/photos/25459876@N04/18671841950","JP OConnor; Joellen mcGann; Denis Antoine"
48731,817,"","fragment of limestone relief inscribed","TA.SC.26-27.067","TA S 26/7 67","","","Main Chapel 19 x 16","","https://www.flickr.com/photos/25459876@N04/18671841950","JP OConnor; Joellen mcGann; Denis Antoine"
,,,,,,,,,,,
,,,,,,,,,,,
48732,433,"Main Chapel","Fragment of Limestone Relief, Inscribed","TA.SC.26-27.068","26-7/68","None given","None given","T.A./S; 14 x 8.5","","https://www.flickr.com/photos/25459876@N04/18833270596","JP OConnor; Joellen mcGann; Denis Antoine"
