"CatalogueNumber","North","East","L","Depth (low)","FS No.","S No.","Description"
"2426","298","303","1","54.6",,"1","Water Screen Bone"
"2426","298","303","1","54.6",,"1","Water Screen Bone"
"2427","","","2",".7","","2","Water Screen Bone"
"2427","298","303","2","54.7",,"2","Water Screen Bone"
"2427","298","303","2","54.7",,"2","Water Screen Bone"
"2428","","","3",".8","","3","Water Screen Bone"
"2428","298","303","3","54.8",,"3","Water Screen Bone"
"2428","298","303","3","54.8",,"3","Water Screen Bone"
"2429","","","4",".9","","4","Water Screen Bone"
"2429","298","303","4","54.9",,"4","Water Screen Bone"
"2429","298","303","4","54.9",,"4","Water Screen Bone"
"2430","","","5","55.0","","5","Water Screen Bone"
"2430","298","303","5","55.0",,"5","Water Screen Bone"
"2430","298","303","5","55.0",,"5","Water Screen Bone"
"2431","","","6",".1","","6","Water Screen Bone"
"2431","298","303","6","55.1",,"6","Water Screen Bone"
"2431","298","303","6","55.1",,"6","Water Screen Bone"
"2432","","","7",".2","","7","Water Screen Bone"
"2432","298","303","7","55.2",,"7","Water Screen Bone"
"2432","298","303","7","55.2",,"7","Water Screen Bone"
"2433","","","8",".3","","9","Water Screen Bone"
"2433","298","303","8","55.3",,"9","Water Screen Bone"
"2433","298","303","8","55.3",,"9","Water Screen Bone"
"2434","","","9",".4","","10","Water Screen Bone"
"2434","298","303","9","55.4",,"10","Water Screen Bone"
"2434","298","303","9","55.4",,"10","Water Screen Bone"
"2435","","","10",".5","","11","Water Screen Bone"
"2435","298","303","10","55.5",,"11","Water Screen Bone"
"2435","298","303","10","55.5",,"11","Water Screen Bone"
"2436","298","304","1","54.4","","1","Water Screen Bone"
"2436","298","304","1","54.4",,"1","Water Screen Bone"
"2436","298","304","1","54.4",,"1","Water Screen Bone"
"2437","","","2",".5","","2","Water Screen Bone"
"2437","298","304","2","54.5",,"2","Water Screen Bone"
"2437","298","304","2","54.5",,"2","Water Screen Bone"
"2438","","","3",".6","","3","Water Screen Bone"
"2438","298","304","3","54.6",,"3","Water Screen Bone"
"2438","298","304","3","54.6",,"3","Water Screen Bone"
"2439","","","4",".7","","4","Water Screen Bone"
"2439","298","304","4","54.7",,"4","Water Screen Bone"
"2439","298","304","4","54.7",,"4","Water Screen Bone"
"2440","","","5",".8","","5","Water Screen Bone"
"2440","298","304","5","54.8",,"5","Water Screen Bone"
"2440","298","304","5","54.8",,"5","Water Screen Bone"
"2441","","","6",".9","","6","Water Screen Bone"
"2441","298","304","6","54.9",,"6","Water Screen Bone"
"2441","298","304","6","54.9",,"6","Water Screen Bone"
"2442","","","7","55.0","","7","Water Screen Bone"
"2442","298","304","7","55.0",,"7","Water Screen Bone"
"2442","298","304","7","55.0",,"7","Water Screen Bone"
"2443","","","8",".1","","8","Water Screen Bone"
"2443","298","304","8","55.1",,"8","Water Screen Bone"
"2443","298","304","8","55.1",,"8","Water Screen Bone"
"2444","","","9",".2","","9","Water Screen Bone"
"2444","298","304","9","55.2",,"9","Water Screen Bone"
"2444","298","304","9","55.2",,"9","Water Screen Bone"
"2445","","","10",".3","","10","Water Screen Bone"
"2445","298","304","10","55.3",,"10","Water Screen Bone"
"2445","298","304","10","55.3",,"10","Water Screen Bone"
"2446","","","11",".4","","11","Water Screen Bone"
"2446","298","304","11","55.4",,"11","Water Screen Bone"
"2446","298","304","11","55.4",,"11","Water Screen Bone"
"2447","","","12",".5","","12","Water Screen Bone"
"2447","298","304","12","55.5",,"12","Water Screen Bone"
"2447","298","304","12","55.5",,"12","Water Screen Bone"
"2448","","","13",".6","","14","Water Screen Bone"
"2448","298","304","13","55.6",,"14","Water Screen Bone"
"2448","298","304","13","55.6",,"14","Water Screen Bone"
"2449","","","14",".7","","17","Water Screen Bone"
"2449","298","304","14","55.7",,"17","Water Screen Bone"
"2449","298","304","14","55.7",,"17","Water Screen Bone"
"2450","","","15",".8","","19","Water Screen Bone"
"2450","298","304","15","55.8",,"19","Water Screen Bone"
"2450","298","304","15","55.8",,"19","Water Screen Bone"
"*2454","","","4","54.9","","4","Water Screen Bone"
"*2456","","","7","55.2","","8","Water Screen Bone"
"*2459","","","14","56.03","","15","Water Screen Bone"
"*2466","298","306","10","56.0","","9","Water Screen Bone"
"*level/S#
out of sequence","","","","","","",""
"2451","298","304","16","55.9","","20","Water Screen Bone"
"2451","298","304","16","55.9","","20","Water Screen Bone"
"2451","298","304","16","55.9",,"20","Water Screen Bone"
"2452","cont","cont","17","56.0","","21","Water Screen Bone"
"2452","298","304","17","56.0","","21","Water Screen Bone"
"2452","298","304","17","56.0",,"21","Water Screen Bone"
"2453","298","305","1","54.6","","1","Water Screen Bone"
"2453","298","305","1","54.6","","1","Water Screen Bone"
"2453","298","305","1","54.6",,"1","Water Screen Bone"
"2455","","","3","54.8","","3","Water Screen Bone"
"2455","298","305","3","54.8","","3","Water Screen Bone"
"2455","298","305","3","54.8",,"3","Water Screen Bone"
"2457","","","5","55.0","","6","Water Screen Bone"
"2457","298","305","5","55.0","","6","Water Screen Bone"
"2457","298","305","5","55.0",,"6","Water Screen Bone"
"2458","","","6",".1","","7","Water Screen Bone"
"2458","298","305","6","55.1","","7","Water Screen Bone"
"2458","298","305","6","55.1",,"7","Water Screen Bone"
"2460","","","8","55.3","","9","Water Screen Bone"
"2460","298","305","8","55.3","","9","Water Screen Bone"
"2460","298","305","8","55.3",,"9","Water Screen Bone"
"2461","","","9",".4","","10","Water Screen Bone"
"2461","298","305","9","55.4","","10","Water Screen Bone"
"2461","298","305","9","55.4",,"10","Water Screen Bone"
"2462","","","10",".5","","11","Water Screen Bone"
"2462","298","305","10","55.5","","11","Water Screen Bone"
"2462","298","305","10","55.5",,"11","Water Screen Bone"
"2463","","","11",".6","","12","Water Screen Bone"
"2463","298","305","11","55.6","","12","Water Screen Bone"
"2463","298","305","11","55.6",,"12","Water Screen Bone"
"2464","","","12",".7","","13","Water Screen Bone"
"2464","298","305","12","55.7","","13","Water Screen Bone"
"2464","298","305","12","55.7",,"13","Water Screen Bone"
"2465","","","13",".8","","14","Water Screen Bone"
"2465","298","305","13","55.8","","14","Water Screen Bone"
"2465","298","305","13","55.8",,"14","Water Screen Bone"
"2467","","","2","55.2","","1","Water Screen Bone"
"2467","298","306","2","55.2","","1","Water Screen Bone"
"2467","298","306","2","55.2",,"1","Water Screen Bone"
"2468","","","3",".3","","2","Water Screen Bone"
"2468","298","306","3","55.3","","2","Water Screen Bone"
"2468","298","306","3","55.3",,"2","Water Screen Bone"
"2469","","","4",".4","","3","Water Screen Bone"
"2469","298","306","4","55.4","","3","Water Screen Bone"
"2469","298","306","4","55.4",,"3","Water Screen Bone"
"2470","","","5",".5","","4","Water Screen Bone"
"2470","298","306","5","55.5","","4","Water Screen Bone"
"2470","298","306","5","55.5",,"4","Water Screen Bone"
"2471","","","6",".6","","5","Water Screen Bone"
"2471","298","306","6","55.6","","5","Water Screen Bone"
"2471","298","306","6","55.6",,"5","Water Screen Bone"
"2472","","","7",".7","","6","Water Screen Bone"
"2472","298","306","7","55.7","","6","Water Screen Bone"
"2472","298","306","7","55.7",,"6","Water Screen Bone"
"2473","","","8",".8","","7","Water Screen Bone"
"2473","298","306","8","55.8","","7","Water Screen Bone"
"2473","298","306","8","55.8",,"7","Water Screen Bone"
"2474","","","9",".9","","8","Water Screen Bone"
"2474","298","306","9","55.9","","8","Water Screen Bone"
"2474","298","306","9","55.9",,"8","Water Screen Bone"
"2475","","","11","56.15","","10","Water Screen Bone"
"2475","298","306","11","56.15","","10","Water Screen Bone"
"2475","298","306","11","56.15",,"10","Water Screen Bone"
"* level out of sequence","","","","","","",""
"*2476","299","301","5.2","54.6","","6","Water Screen Bone"
"*2485","","","15","55.42","","21","Water Screen Bone"
"*2493","299","302","11","55.3","","11","Water Screen Bone"
"2477","299","301","1","54.1","","1","Water Screen Bone"
"2477","299","301","1","54.1","","1","Water Screen Bone"
"2477","299","301","1","54.1",,"1","Water Screen Bone"
"2478","","","2",".2","","2","Water Screen Bone"
"2478","299","301","2","54.2","","2","Water Screen Bone"
"2478","299","301","2","54.2",,"2","Water Screen Bone"
"2479","","","3",".3","","3","Water Screen Bone"
"2479","299","301","3","54.3","","3","Water Screen Bone"
"2479","299","301","3","54.3",,"3","Water Screen Bone"
"2480","","","4",".4","","4","Water Screen Bone"
"2480","299","301","4","54.4","","4","Water Screen Bone"
"2480","299","301","4","54.4",,"4","Water Screen Bone"
"2481","","","5.1",".5","","5","Water Screen Bone"
"2481","299","301","5.1","54.5","","5","Water Screen Bone"
"2481","299","301","5.1","54.5",,"5","Water Screen Bone"
"2482","","","6.1",".76","","8","Water Screen Bone"
"2482","299","301","6.1","54.76","","8","Water Screen Bone"
"2482","299","301","6.1","54.76",,"8","Water Screen Bone"
"2483","","","6.2",".5","","10","Water Screen Bone"
"2483","299","301","6.2","54.5","","10","Water Screen Bone"
"2483","299","301","6.2","54.5",,"10","Water Screen Bone"
"2484","","","7",".6","","11","Water Screen Bone"
"2484","299","301","7","54.6","","11","Water Screen Bone"
"2484","299","301","7","54.6",,"11","Water Screen Bone"
"2486","","","8","54.7","","12","Water Screen Bone"
"2486","299","301","8","54.7","","12","Water Screen Bone"
"2486","299","301","8","54.7",,"12","Water Screen Bone"
"2487","","","9",".8","","15","Water Screen Bone"
"2487","299","301","9","54.8","","15","Water Screen Bone"
"2487","299","301","9","54.8",,"15","Water Screen Bone"
"2488","","","10",".9","","16","Water Screen Bone"
"2488","299","301","10","54.9","","16","Water Screen Bone"
"2488","299","301","10","54.9",,"16","Water Screen Bone"
"2489","","","11","55.0","","17","Water Screen Bone"
"2489","299","301","11","55.0","","17","Water Screen Bone"
"2489","299","301","11","55.0",,"17","Water Screen Bone"
"2490","","","12",".1","","18","Water Screen Bone"
"2490","299","301","12","55.1","","18","Water Screen Bone"
"2490","299","301","12","55.1",,"18","Water Screen Bone"
"2491","","","13",".2","","19","Water Screen Bone"
"2491","299","301","13","55.2","","19","Water Screen Bone"
"2491","299","301","13","55.2",,"19","Water Screen Bone"
"2492","","","14",".3","","20","Water Screen Bone"
"2492","299","301","14","55.3","","20","Water Screen Bone"
"2492","299","301","14","55.3",,"20","Water Screen Bone"
"2494","","","1","54.3","","1","Water Screen Bone"
"2494","299","302","1","54.3","","1","Water Screen Bone"
"2494","299","302","1","54.3",,"1","Water Screen Bone"
"2495","","","2",".4","","2","Water Screen Bone"
"2495","299","302","2","54.4","","2","Water Screen Bone"
"2495","299","302","2","54.4",,"2","Water Screen Bone"
"2496","","","3",".5","","3","Water Screen Bone"
"2496","299","302","3","54.5","","3","Water Screen Bone"
"2496","299","302","3","54.5",,"3","Water Screen Bone"
"2497","","","4",".6","","4","Water Screen Bone"
"2497","299","302","4","54.6","","4","Water Screen Bone"
"2497","299","302","4","54.6",,"4","Water Screen Bone"
"2498","","","5",".7","","5","Water Screen Bone"
"2498","299","302","5","54.7","","5","Water Screen Bone"
"2498","299","302","5","54.7",,"5","Water Screen Bone"
"2499","","","6",".8","","6","Water Screen Bone"
"2499","299","302","6","54.8","","6","Water Screen Bone"
"2499","299","302","6","54.8",,"6","Water Screen Bone"
"2500","","","7",".9","","7","Water Screen Bone"
"2500","299","302","7","54.9","","7","Water Screen Bone"
"2500","299","302","7","54.9",,"7","Water Screen Bone"
"**2504","","","14",".61","","14","Water Screen Bone"
"**2507","299","303","15","55.64","","13","Water Screen Bone"
"**level out of sequence","","","","","","",""
"*2520","300","300","15","55.35","","21","Water Screen Bone"
"*unit out of sequence","","","","","","",""
"2501","299","302","8","55.0","","8","Water Screen Bone"
"2501","299","302","8","55.0","","8","Water Screen Bone"
"2501","299","302","8","55.0",,"8","Water Screen Bone"
"2502","cont","cont","9",".1","","9","Water Screen Bone"
"2502","299","302","9","55.1","","9","Water Screen Bone"
"2502","299","302","9","55.1",,"9","Water Screen Bone"
"2503","","","10",".2","","10","Water Screen Bone"
"2503","299","302","10","55.2","","10","Water Screen Bone"
"2503","299","302","10","55.2",,"10","Water Screen Bone"
"2505","","","12","55.4","","12","Water Screen Bone"
"2505","299","302","12","55.4","","12","Water Screen Bone"
"2505","299","302","12","55.4",,"12","Water Screen Bone"
"2506","","","13",".5","","13","Water Screen Bone"
"2506","299","302","13","55.5","","13","Water Screen Bone"
"2506","299","302","13","55.5",,"13","Water Screen Bone"
"2508","","","2","54.4","","1","Water Screen Bone"
"2508","299","303","2","54.4","","1","Water Screen Bone"
"2508","299","303","2","54.4",,"1","Water Screen Bone"
"2509","","","3",".5","","2","Water Screen Bone"
"2509","299","303","3","54.5","","2","Water Screen Bone"
"2509","299","303","3","54.5",,"2","Water Screen Bone"
"2510","","","5",".6","","3","Water Screen Bone"
"2510","299","303","5","54.6","","3","Water Screen Bone"
"2510","299","303","5","54.6",,"3","Water Screen Bone"
"2511","","","6",".7","","4","Water Screen Bone"
"2511","299","303","6","54.7","","4","Water Screen Bone"
"2511","299","303","6","54.7",,"4","Water Screen Bone"
"2512","","","7",".8","","5","Water Screen Bone"
"2512","299","303","7","54.8","","5","Water Screen Bone"
"2512","299","303","7","54.8",,"5","Water Screen Bone"
"2513","","","8",".9","","6","Water Screen Bone"
"2513","299","303","8","54.9","","6","Water Screen Bone"
"2513","299","303","8","54.9",,"6","Water Screen Bone"
"2514","","","9","55.0","","7","Water Screen Bone"
"2514","299","303","9","55.0","","7","Water Screen Bone"
"2514","299","303","9","55.0",,"7","Water Screen Bone"
"2515","","","10",".1","","8","Water Screen Bone"
"2515","299","303","10","55.1","","8","Water Screen Bone"
"2515","299","303","10","55.1",,"8","Water Screen Bone"
"2516","","","11",".2","","9","Water Screen Bone"
"2516","299","303","11","55.2","","9","Water Screen Bone"
"2516","299","303","11","55.2",,"9","Water Screen Bone"
"2517","","","12",".3","","10","Water Screen Bone"
"2517","299","303","12","55.3","","10","Water Screen Bone"
"2517","299","303","12","55.3",,"10","Water Screen Bone"
"2518","","","13",".4","","11","Water Screen Bone"
"2518","299","303","13","55.4","","11","Water Screen Bone"
"2518","299","303","13","55.4",,"11","Water Screen Bone"
"2519","","","14",".5","","12","Water Screen Bone"
"2519","299","303","14","55.5","","12","Water Screen Bone"
"2519","299","303","14","55.5",,"12","Water Screen Bone"
"2521","299","305","2","54.8","","1","Water Screen Bone"
"2521","299","305","2","54.8","","1","Water Screen Bone"
"2521","299","305","2","54.8",,"1","Water Screen Bone"
"2522","","","3",".9","","2","Water Screen Bone"
"2522","299","305","3","54.9","","2","Water Screen Bone"
"2522","299","305","3","54.9",,"2","Water Screen Bone"
"2523","","","4","55.0","","4","Water Screen Bone"
"2523","299","305","4","55.0","","4","Water Screen Bone"
"2523","299","305","4","55.0",,"4","Water Screen Bone"
"2524","","","5",".1","","5","Water Screen Bone"
"2524","299","305","5","55.1","","5","Water Screen Bone"
"2524","299","305","6","55.2","","6","Water Screen Bone"
"2524","299","305","5","55.1",,"5","Water Screen Bone"
"2525","","","6",".2","","6","Water Screen Bone"
"2525","299","305","6","55.2",,"6","Water Screen Bone"
"*2548","","","9.1",".7","","15","Water Screen Bone"
"2526","299","305","7","55.3","","7","Water Screen Bone"
"2526","299","305","7","55.3","","7","Water Screen Bone"
"2526","299","305","7","55.3",,"7","Water Screen Bone"
"2527","cont","cont","8",".4","","8","Water Screen Bone"
"2527","299","305","8","55.4","","8","Water Screen Bone"
"2527","299","305","8","55.4",,"8","Water Screen Bone"
"2528","","","9",".5","","9","Water Screen Bone"
"2528","299","305","9","55.5","","9","Water Screen Bone"
"2528","299","305","9","55.5",,"9","Water Screen Bone"
"2529","","","10",".6","","10","Water Screen Bone I Ded pulled with regular bone as bag 2/2"
"2529","299","305","10","55.6","","10","Water Screen Bone"
"2529","299","305","10","55.6",,"10","Water Screen Bone"
"2530","","","11",".7","","11","Water Screen Bone"
"2530","299","305","11","55.7","","11","Water Screen Bone"
"2530","299","305","11","55.7",,"11","Water Screen Bone"
"2531","","","12",".8","","12","Water Screen Bone"
"2531","299","305","12","55.8","","12","Water Screen Bone"
"2531","299","305","12","55.8",,"12","Water Screen Bone"
"2532","","","13","56.04","","13","Water Screen Bone"
"2532","299","305","13","56.04","","13","Water Screen Bone"
"2532","299","305","13","56.04",,"13","Water Screen Bone"
"2533","","306","4","55.1","","3","Water Screen Bone"
"2533","299","306","4","55.1","","3","Water Screen Bone"
"2533","299","306","4","55.1",,"3","Water Screen Bone"
"2534","","","5",".2","","4","Water Screen Bone"
"2534","299","306","5","55.2","","4","Water Screen Bone"
"2534","299","306","5","55.2",,"4","Water Screen Bone"
"2535","","","6",".3","","5","Water Screen Bone"
"2535","299","306","6","55.3","","5","Water Screen Bone"
"2535","299","306","6","55.3",,"5","Water Screen Bone"
"2536","","","7",".4","","6","Water Screen Bone"
"2536","299","306","7","55.4","","6","Water Screen Bone"
"2536","299","306","7","55.4",,"6","Water Screen Bone"
"2537","","","8",".5","","7","Water Screen Bone"
"2537","299","306","8","55.5","","7","Water Screen Bone"
"2537","299","306","8","55.5",,"7","Water Screen Bone"
"2538","","","9",".6","","8","Water Screen Bone"
"2538","299","306","9","55.6","","8","Water Screen Bone"
"2538","299","306","9","55.6",,"8","Water Screen Bone"
"2539","","","10",".7","","9","Water Screen Bone"
"2539","299","306","10","55.7","","9","Water Screen Bone"
"2539","299","306","10","55.7",,"9","Water Screen Bone"
"2540","","","11",".8","","10","Water Screen Bone"
"2540","299","306","11","55.8","","10","Water Screen Bone"
"2540","299","306","11","55.8",,"10","Water Screen Bone"
"2541","","","12",".9","","12","Water Screen Bone"
"2541","299","306","12","55.9","","12","Water Screen Bone"
"2541","299","306","12","55.9",,"12","Water Screen Bone"
"2542","","","13","56.0","","13","Water Screen Bone"
"2542","299","306","13","56.0","","13","Water Screen Bone"
"2542","299","306","13","56.0",,"13","Water Screen Bone"
"2543","","","14",".13","","14","Water Screen Bone"
"2543","299","306","14","56.13","","14","Water Screen Bone"
"2543","299","306","14","56.13",,"14","Water Screen Bone"
"2544","300","300","5","54.4","","5","Water Screen Bone"
"2544","300","300","5","54.4","","5","Water Screen Bone"
"2544","300","300","5","54.4",,"5","Water Screen Bone"
"2545","","","6",".5","","7","Water Screen Bone"
"2545","300","300","6","54.5","","7","Water Screen Bone"
"2545","300","300","6","54.5",,"7","Water Screen Bone"
"2546","","","7",".6","","9","Water Screen Bone"
"2546","300","300","7","54.6","","9","Water Screen Bone"
"2546","300","300","7","54.6",,"9","Water Screen Bone"
"2547","","","8.1",".7","","11","Water Screen Bone"
"2547","300","300","8.1","54.7","","11","Water Screen Bone"
"2547","300","300","8.1","54.7",,"11","Water Screen Bone"
"2549","","","10",".8","","14","Water Screen Bone"
"2549","300","300","10","54.8","","14","Water Screen Bone"
"2549","300","300","10","54.8",,"14","Water Screen Bone"
"2550","","","11",".9","","16","Water Screen Bone"
"2550","300","300","11","54.9","","16","Water Screen Bone"
"2550","300","300","11","54.9",,"16","Water Screen Bone"
"2551","300","300","12","55.0","","17","Water Screen Bone"
"2551","300","300","12","55.0","","17","Water Screen Bone"
"2551","300","300","12","55.0",,"17","Water Screen Bone"
"2552","cont","cont","13",".1","","18","Water Screen Bone"
"2552","300","300","13","55.1","","18","Water Screen Bone"
"2552","300","300","13","55.1",,"18","Water Screen Bone"
"2553","","","14",".2","","19","Water Screen Bone"
"2553","300","300","14","55.2","","19","Water Screen Bone"
"2553","300","300","14","55.2",,"19","Water Screen Bone"
"2554","300","301","1","54.0","","1","Water Screen Bone"
"2554","300","301","1","54.0","","1","Water Screen Bone"
"2554","300","301","1","54.0",,"1","Water Screen Bone"
"2555","","","2",".1","","2","Water Screen Bone"
"2555","300","301","2","54.1","","2","Water Screen Bone"
"2555","300","301","2","54.1",,"2","Water Screen Bone"
"2556","","","3",".2","","3","Water Screen Bone"
"2556","300","301","3","54.2","","3","Water Screen Bone"
"2556","300","301","3","54.2",,"3","Water Screen Bone"
"2557","","","4",".3","","4","Water Screen Bone"
"2557","300","301","4","54.3","","4","Water Screen Bone"
"2557","300","301","4","54.3",,"4","Water Screen Bone"
"2558","","","5",".4","","5","Water Screen Bone"
"2558","300","301","5","54.4","","5","Water Screen Bone"
"2558","300","301","5","54.4",,"5","Water Screen Bone"
"2559","","","6",".5","","6","Water Screen Bone"
"2559","300","301","6","54.5","","6","Water Screen Bone"
"2559","300","301","6","54.5",,"6","Water Screen Bone"
"2560","","","7",".6","","7","Water Screen Bone"
"2560","300","301","7","54.6","","7","Water Screen Bone"
"2560","300","301","7","54.6",,"7","Water Screen Bone"
"2561","","","8.1",".7","","8","Water Screen Bone"
"2561","300","301","8.1","54.7","","8","Water Screen Bone"
"2561","300","301","8.1","54.7",,"8","Water Screen Bone"
"2562","","","8.2",".8","","9","Water Screen Bone"
"2562","300","301","8.2","54.8","","9","Water Screen Bone"
"2562","300","301","8.2","54.8",,"9","Water Screen Bone"
"2563","","","9.1",".7","","10","Water Screen Bone"
"2563","300","301","9.1","54.7","","10","Water Screen Bone"
"2563","300","301","9.1","54.7",,"10","Water Screen Bone"
"2564","","","9.2",".8","","12","Water Screen Bone"
"2564","300","301","9.2","54.8","","12","Water Screen Bone"
"2564","300","301","9.2","54.8",,"12","Water Screen Bone"
"2565","","","10",".9","","13","Water Screen Bone"
"2565","300","301","10","54.9","","13","Water Screen Bone"
"2565","300","301","10","54.9",,"13","Water Screen Bone"
"2566","","","11","55.0","","14","Water Screen Bone"
"2566","300","301","11","55.0","","14","Water Screen Bone"
"2566","300","301","11","55.0",,"14","Water Screen Bone"
"2567","","","12",".1","","15","Water Screen Bone"
"2567","300","301","12","55.1","","15","Water Screen Bone"
"2567","300","301","12","55.1",,"15","Water Screen Bone"
"2568","","","13",".2","","16","Water Screen Bone"
"2568","300","301","13","55.2","","16","Water Screen Bone"
"2568","300","301","13","55.2",,"16","Water Screen Bone"
"2569","","","14",".45","","20","Water Screen Bone"
"2569","300","301","14","55.45","","20","Water Screen Bone"
"2569","300","301","14","55.45",,"20","Water Screen Bone"
"2570","300","302","1","54.2","","1","Water Screen Bone"
"2570","300","302","1","54.2","","1","Water Screen Bone"
"2570","300","302","1","54.2",,"1","Water Screen Bone"
"2571","","","2",".3","","2","Water Screen Bone"
"2571","300","302","2","54.3","","2","Water Screen Bone"
"2571","300","302","2","54.3",,"2","Water Screen Bone"
"2572","","","3",".4","","3","Water Screen Bone"
"2572","300","302","4","54.4","","3","Water Screen Bone"
"2572","300","302","3","54.4",,"3","Water Screen Bone"
"2573","","","4",".5","","4","Water Screen Bone"
"2573","300","302","5","54.5","","4","Water Screen Bone"
"2573","300","302","4","54.5",,"4","Water Screen Bone"
"2574","","","5",".6","","5","Water Screen Bone"
"2574","300","302","6","54.6","","5","Water Screen Bone"
"2574","300","302","5","54.6",,"5","Water Screen Bone"
"2575","","","6.1",".7","","6","Water Screen Bone"
"2575","300","302","6.1","54.7","","6","Water Screen Bone"
"2575","300","302","6.1","54.7",,"6","Water Screen Bone"
"776","300","300","2
cont","54.1
cont","10","","Hafted biface"
"776","300","300","2","54.1","10","","hafted biface"
"776","300","300","2","54.1","10","","Hafted biface"
"777","300","300","3","54.2","11","","Debitage"
"777","300","300","3","54.2","11","","debitage"
"777","300","300","3","54.2","11",,"Debitage"
"778","300","300","3","54.2","11","","Chip tool"
"778","300","300","3","54.2","11","","chip tool"
"778","300","300","3","54.2","11",,"Chip tool"
"779","300","300","3","54.2","11","","Chip tool"
"779","300","300","3","54.2","11","","chip tool"
"779","300","300","3","54.2","11",,"Chip tool"
"780","300","300","3","54.2","11","","Chip tool"
"780","300","300","3","54.2","11","","chip tool"
"780","300","300","3","54.2","11",,"Chip tool"
"781","300","300","3","54.2","11","","Chip tool"
"781","300","300","3","54.2","11","","chip tool"
"781","300","300","3","54.2","11",,"Chip tool"
"782","300","300","4","54.2","20","","Debitage"
"782","300","300","4","54.3","20","","debitage"
"782","300","300","4","54.3","20",,"Debitage"
"783","300","300","4","54.3","20","","Chip tool"
"783","300","300","4","54.3","20","","chip tool"
"783","300","300","4","54.3","20",,"Chip tool"
"784","300","300","4","54.3","20","","Chip tool"
"784","300","300","4","54.3","20","","chip tool"
"784","300","300","4","54.3","20",,"Chip tool"
"785","300","300","4","54.3","20","","Chip tool"
"785","300","300","4","54.3","20","","chip tool"
"785","300","300","4","54.3","20",,"Chip tool"
"786","300","300","5","54.4","23","","Debitage"
"786","300","300","5","54.4","23","","debitage"
"786","300","300","5","54.4","23",,"Debitage"
"787","300","300","5","54.4","24","","Chip tool"
"787","300","300","5","54.4","24","","chip tool"
"787","300","300","5","54.4","24",,"Chip tool"
"788","300","300","5","54.4","","5","Chip tool"
"788","300","300","5","54.4","","5","chip tool"
"788","300","300","5","54.4","","5","Chip tool"
"789","300","300","6","54.5","28","","Debitage"
"789","300","300","6","54.5","28","","debitage"
"789","300","300","6","54.5","28",,"Debitage"
"790","300","300","6","54.5","28","","Chip tool"
"790","300","300","6","54.5","28","","chip tool"
"790","300","300","6","54.5","28",,"Chip tool"
"791","300","300","6","54.5","28","","Chip tool"
"791","300","300","6","54.5","28","","chip tool"
"791","300","300","6","54.5","28",,"Chip tool"
"792","300","300","7","54.6","34","","Debitage"
"792","300","300","7","54.6","34","","debitage"
"792","300","300","7","54.6","34",,"Debitage"
"793","300","300","8.1","54.7","39","","Debitage"
"793","300","300","8.1","54.7","39","","debitage"
"793","300","300","8.1","54.7","39",,"Debitage"
"794","300","300","8.1","54.7","40","","Chip tool"
"794","300","300","8.1","54.7","40","","chip tool"
"794","300","300","8.1","54.7","40",,"Chip tool"
"795","300.28","300.80","8.1","54.66","42","","Chip tool"
"795","300.28","300.80","8.1","54.66","42","","chip tool"
"795","300.28","300.80","8.1","54.66","42",,"Chip tool"
"796","300.38","301.00","8.1","54.69","44","","Chip tool"
"796","300.38","301.00","8.1","54.69","44","","chip tool"
"796","300.38","301.40","8.1","54.69","44",,"Chip tool"
"797","300","301.00","9.1","54.7","45","","Debitage Feature 9"
"797","300","301","9.1","54.7","45","","debitage"
"797","300","301","9.1","54.7","45",,"Debitage"
"798","300","301.00","9.1","54.7","45","","Chip tool Feature 9"
"798","300","301","9.1","54.7","45","","chip tool"
"798","300","301","9.1","54.7","45",,"Chip tool"
"799","300","301.00","9.1","54.7","","13","Hafted biface Feature 9"
"799","300","301","9.1","54.7","","13","hafted biface"
"799","300","301","9.1","54.7","","13","Hafted biface"
"800","300","301.00","10","54.8","48","","Debitage"
"800","300","301","10","54.8","48","","debitage"
"800","300","301","10","54.8","48",,"Debitage"
"2576","300","302","6.2","54.8","9","","Water Screen Bone"
"2576","300","302","6.2","54.8","9","","Water Screen Bone"
"2576","300","302","6.2","54.8","9",,"Water Screen Bone"
"2577","300","302","8","54.9","12","","Water Screen Bone"
"2577","300","302","8","54.9","12","","Water Screen Bone"
"2577","300","302","8","54.9","12",,"Water Screen Bone"
"2578","300","302","9","55.0","13","","Water Screen Bone"
"2578","300","302","9","55.0","13","","Water Screen Bone"
"2578","300","302","9","55.0","13",,"Water Screen Bone"
"2579","300","302","10","55.1","14","","Water Screen Bone"
"2579","300","302","10","55.1","14","","Water Screen Bone"
"2579","300","302","10","55.1","14",,"Water Screen Bone"
"2580","300","302","11","55.2","15","","Water Screen Bone"
"2580","300","302","11","55.2","15","","Water Screen Bone"
"2580","300","302","11","55.2","15",,"Water Screen Bone"
"2581","300","302","12","55.3","17","","Water Screen Bone"
"2581","300","302","12","55.3","17","","Water Screen Bone"
"2581","300","302","12","55.3","17",,"Water Screen Bone"
"2582","300","302","13","55.4","19","","Water Screen Bone"
"2582","300","302","13","55.4","19","","Water Screen Bone"
"2582","300","302","13","55.4","19",,"Water Screen Bone"
"2583","300","302","14","55.5","20","","Water Screen Bone"
"2583","300","302","14","55.5","20","","Water Screen Bone"
"2583","300","302","14","55.5","20",,"Water Screen Bone"
